"filename", "language", "JavaScript", "JSON", "Markdown", "Handlebars", "CSS", "XML", "Less", "SCSS", "comment", "blank", "total"
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/my-account/comments/index.handlebars", "Handlebars", 0, 0, 0, 52, 0, 0, 0, 0, 0, 5, 57
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/my-account/index.handlebars", "Handlebars", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/my-account/messages/index.handlebars", "Handlebars", 0, 0, 0, 59, 0, 0, 0, 0, 9, 3, 71
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/my-account/posts/create.handlebars", "Handlebars", 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 48
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/my-account/posts/edit.handlebars", "Handlebars", 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 45
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/my-account/posts/index.handlebars", "Handlebars", 0, 0, 0, 40, 0, 0, 0, 0, 0, 2, 42
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/my-account/profile/edit.handlebars", "Handlebars", 0, 0, 0, 20, 0, 0, 0, 0, 10, 4, 34
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/my-account/profile/index.handlebars", "Handlebars", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/my-account/profile/password.handlebars", "Handlebars", 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/post.handlebars", "Handlebars", 0, 0, 0, 61, 0, 0, 0, 0, 24, 27, 112
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/register.handlebars", "Handlebars", 0, 0, 0, 42, 0, 0, 0, 0, 1, 0, 43
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/layouts/admin.handlebars", "Handlebars", 0, 0, 0, 147, 0, 0, 0, 0, 9, 15, 171
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/layouts/home.handlebars", "Handlebars", 0, 0, 0, 35, 0, 0, 0, 0, 1, 22, 58
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/partials/admin/admin-side-nav.handlebars", "Handlebars", 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 45
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/partials/admin/footer.handlebars", "Handlebars", 0, 0, 0, 96, 0, 0, 0, 0, 1, 3, 100
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/partials/home/footer.handlebars", "Handlebars", 0, 0, 0, 61, 0, 0, 0, 0, 0, 3, 64
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/partials/home/form-msgs.handlebars", "Handlebars", 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/partials/home/home-nav.handlebars", "Handlebars", 0, 0, 0, 44, 0, 0, 0, 0, 6, 0, 50
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/partials/home/my-account-nav.handlebars", "Handlebars", 0, 0, 0, 20, 0, 0, 0, 0, 4, 0, 24
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/partials/home/sidebar.handlebars", "Handlebars", 0, 0, 0, 21, 0, 0, 0, 0, 17, 4, 42
"Total", "-", 14339, 2292, 1, 1306, 19129, 2671, 1758, 1758, 4049, 6307, 53610
